,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
8222,9.323669057283185,2.4849066497880004,6.907755278982137,Air Blade,10.826555268689306,Việt Nam,1,Đà Nẵng,93.51
8227,8.974618038455112,2.302585092994046,9.615805480084347,Sirius,9.934743942186682,Đang cập nhật,3,TP. Hồ Chí Minh,98.44
8228,8.85366542803745,2.3978952727983707,8.11162807830774,Sirius,9.934743942186682,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8229,9.210340371976184,2.70805020110221,10.596634733096073,Jupiter,10.257659366256743,Việt Nam,1,Hải Phòng,96.07
8230,9.786953736280177,0.0,10.126631103850338,Satria,10.887249999525295,Ấn Độ,2,TP. Hồ Chí Minh,98.44
8236,8.83927669058535,2.9444389791664403,11.289781913656018,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
8240,9.51044496442652,2.70805020110221,10.4341158035983,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8241,9.878169744551839,2.1972245773362196,7.1180162044653335,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
8243,8.895629627136483,2.6390573296152584,10.736396675471232,Air Blade,10.826555268689306,Thái Lan,2,TP. Hồ Chí Minh,98.44
8245,9.852194258148577,1.6094379124341003,10.46310334047155,Vision,10.451319901931214,Nhật Bản,3,Bình Phước,92.14
8246,8.294049640102028,2.6390573296152584,11.502875129116727,Jupiter,10.257659366256743,Việt Nam,1,TP. Hồ Chí Minh,98.44
8249,9.259130536145614,2.70805020110221,10.308952660644293,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
8254,10.596634733096073,1.6094379124341003,9.852194258148577,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8255,9.210340371976184,2.5649493574615367,10.417208979414145,Sirius,9.934743942186682,Đang cập nhật,3,TP. Hồ Chí Minh,98.44
8256,8.476371196895983,3.044522437723423,10.165851817003619,Sirius,9.934743942186682,Thái Lan,2,TP. Hồ Chí Minh,98.44
8257,9.259130536145614,1.6094379124341003,9.680344001221918,Blade,9.94270826568941,Việt Nam,1,TP. Hồ Chí Minh,98.44
8260,9.51044496442652,2.6390573296152584,7.1180162044653335,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8264,10.668955394675699,0.0,9.126958763037132,Lead,10.677984278792396,Việt Nam,1,TP. Hồ Chí Minh,98.44
8265,9.259130536145614,1.6094379124341003,9.903487552536127,Blade,9.94270826568941,Việt Nam,1,TP. Hồ Chí Minh,98.44
8266,8.160518247477505,1.9459101490553132,10.589106466675283,Sirius,9.934743942186682,Việt Nam,1,TP. Hồ Chí Minh,98.44
8267,8.853665285180297,2.6390573296152584,11.3975146134589,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
8275,9.433483923290392,2.6390573296152584,12.611537753638338,Exciter,10.834863921828324,Việt Nam,1,Bình Dương,94.25
8276,8.006367567650246,3.1354942159291497,9.210340371976184,Sirius,9.934743942186682,Việt Nam,1,Thái Bình,90.33
8277,8.935903526274423,2.772588722239781,10.085809109330082,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8278,11.03488966402723,1.0986122886681098,9.615805480084347,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
8279,9.350102314351341,1.3862943611198906,12.89921982609012,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
8281,11.26446410567173,1.0986122886681098,10.056208639553791,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
8287,9.674074388208323,2.772588722239781,9.21024036697585,Air Blade,10.826555268689306,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8289,11.326595886778735,1.0986122886681098,9.615805480084347,SH,11.6952282715884,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8290,9.305650551780507,2.4849066497880004,10.947097923982511,Jupiter,10.257659366256743,Nhật Bản,3,Đồng Tháp,89.33
8291,10.51867319162636,0.6931471805599453,9.903487552536127,Air Blade,10.826555268689306,Nhật Bản,3,Bình Phước,92.14
8294,9.735068900911164,1.0986122886681098,10.043249494911286,Wave,9.975342989636557,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8296,9.366061246972958,2.5649493574615367,10.915088464214607,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
8297,11.05089000537367,1.791759469228055,12.736700896592344,SH,11.6952282715884,Việt Nam,1,Gia Lai,87.91
8298,9.433483923290392,0.6931471805599453,13.122363377404328,Wave,9.975342989636557,Đang cập nhật,1,Bình Phước,92.14
8299,9.740968623038354,2.302585092994046,11.396391648714276,Lead,10.677984278792396,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8300,9.093806555720231,2.8903717578961645,11.156250521031495,Mio,10.165851817003619,Việt Nam,1,TP. Hồ Chí Minh,98.44
