price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
11.002099841204238,2.0794415416798357,9.210340371976184,SH,11.6952282715884,Việt Nam,1,Đồng Nai,93.54
8.556413904569519,2.5649493574615367,13.122363377404328,Liberty,10.975071168816319,Nhật Bản,3,Hà Nội,100.0
8.85366542803745,2.833213344056216,7.600902459542082,Sirius,9.934743942186682,Đang cập nhật,1,Hà Nội,100.0
8.612503371220562,2.772588722239781,11.512915464920228,Jupiter,10.257659366256743,Thái Lan,2,Đà Nẵng,93.51
11.289781913656018,1.0986122886681098,9.392661928770137,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
10.373491181781864,1.3862943611198906,9.903487552536127,Blade,9.94270826568941,Việt Nam,1,Đồng Nai,93.54
10.42821608147111,1.0986122886681098,8.85366542803745,Vario,10.77874793485229,Việt Nam,1,TP. Hồ Chí Minh,98.44
10.302263672493496,1.0986122886681098,9.95227771670556,Future,10.371614421769003,Đang cập nhật,3,Long An,87.97
9.190137664658664,2.302585092994046,10.571316925111784,Vision,10.451319901931214,Thái Lan,2,TP. Hồ Chí Minh,98.44
11.589886506106357,0.6931471805599453,9.472704636443673,SH,11.6952282715884,Đang cập nhật,2,TP. Hồ Chí Minh,98.44
9.449357272446683,2.3978952727983707,7.1180162044653335,Wave,9.975342989636557,Nhật Bản,3,An Giang,91.92
8.517193191416238,2.8903717578961645,11.002099841204238,Jupiter,10.257659366256743,Nhật Bản,3,TP. Hồ Chí Minh,98.44
11.668218349376264,1.0986122886681098,9.104979856318357,SH,11.6952282715884,Nhật Bản,3,TP. Hồ Chí Minh,98.44
9.259130536145614,1.9459101490553132,11.512925464970229,Sirius,9.934743942186682,Việt Nam,1,TP. Hồ Chí Minh,98.44
11.26446410567173,1.3862943611198906,9.903487552536127,SH,11.6952282715884,Việt Nam,1,Long An,87.97
9.532423871145296,2.995732273553991,10.308952660644293,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
8.411832675758411,2.6390573296152584,10.308952660644293,Liberty,10.975071168816319,Nước khác,1,Thái Bình,90.33
10.513253124157023,2.5649493574615367,9.392661928770137,SH,11.6952282715884,Việt Nam,1,Hà Nội,100.0
8.961879012677683,2.70805020110221,10.46310334047155,SH,11.6952282715884,Đài Loan,2,TP. Hồ Chí Minh,98.44
10.584055950889214,1.9459101490553132,9.392661928770137,SH,11.6952282715884,Nhật Bản,3,Hà Nội,100.0
8.824677891164198,1.6094379124341003,9.392661928770137,Wave,9.975342989636557,Đang cập nhật,1,Hà Nội,100.0
11.238488619268468,1.791759469228055,10.126631103850338,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
11.082142548877775,2.6390573296152584,11.512925464970229,SH,11.6952282715884,Nước khác,3,TP. Hồ Chí Minh,98.44
10.950806546816688,2.70805020110221,10.714417768752456,Exciter,10.834863921828324,Nhật Bản,3,Sóc Trăng,87.82
8.83927669058535,1.0986122886681098,9.210340371976184,Wave,9.975342989636557,Đang cập nhật,1,Hà Nội,100.0
9.433483923290392,2.3978952727983707,9.392661928770137,Air Blade,10.826555268689306,Việt Nam,1,Hà Nội,100.0
11.314474526246391,2.833213344056216,10.596634733096073,SH,11.6952282715884,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
10.232791299678729,0.6931471805599453,9.190137664658664,Winner X,10.786428304728728,Nhật Bản,3,Lâm Đồng,92.96
8.517193191416238,2.8903717578961645,11.002099841204238,Jupiter,10.257659366256743,Nhật Bản,3,TP. Hồ Chí Minh,98.44
10.239959789157341,0.6931471805599453,11.512925464970229,Future,10.371614421769003,Việt Nam,1,Đà Nẵng,93.51
7.575584651557793,2.70805020110221,11.714600201668786,Wave,9.975342989636557,Hàn Quốc,3,TP. Hồ Chí Minh,98.44
10.275051108968611,2.3978952727983707,10.819778284410283,SH Mode,11.02825479868109,Việt Nam,1,Sóc Trăng,87.82
9.169518377455928,2.0794415416798357,9.210340371976184,Sirius,9.934743942186682,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
9.38429367909962,2.0794415416798357,10.126631103850338,Winner,10.736396675471232,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8.974618038455112,2.3978952727983707,10.126631103850338,Sirius,9.934743942186682,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
9.230142999272362,2.4849066497880004,10.126631103850338,Vision,10.451319901931214,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
9.615805480084347,2.3978952727983707,10.596634733096073,Future,10.371614421769003,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8.779557455883728,2.5649493574615367,12.100712129872347,Nouvo,10.46310334047155,Việt Nam,1,Bến Tre,85.93
8.612503371220562,2.70805020110221,9.615805480084347,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
11.082142548877775,2.833213344056216,9.614804979750764,SH,11.6952282715884,Nước khác,3,TP. Hồ Chí Minh,98.44
9.169518377455928,1.9459101490553132,10.126631103850338,Wave,9.975342989636557,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
9.392661928770137,2.0794415416798357,12.577636201962656,Wave,9.975342989636557,Việt Nam,1,Đồng Nai,93.54
10.714417768752456,2.302585092994046,10.308952660644293,SH,11.6952282715884,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8.881836305004146,2.70805020110221,10.126631103850338,Wave,9.975342989636557,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
