title,price,price_numeric,description,model,model_normalized,brand,reg_year,reg_year_numeric,mileage,mileage_numeric,origin,origin_normalized,location,province,condition,vehicle_type,engine_capacity,post_time,days_since_posted,post_date,url,url_full,condition_normalized,vehicle_type_normalized,price_millions
Bán xe WINNER V1 Màu đen nhám,15.000.000 đ,15000000,"Do nhu cầu đổi xe nên bán lại con winner v1 cho a.e  nào cần. Xe nhà đang đi , bảo dưỡng thay nhớt định kỳ , máy êm , xe chính chủ đăng ký lần đầu năm 2018. Giấy tờ đầy đủ , chính chủ.
SĐT ***",Winner,Winner,Honda,2018,2018,70000,70000,Đang cập nhật,Việt Nam,"Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/122015508.htm,https://xe.chotot.com/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/122015508.htm,Đã sử dụng,Tay côn/Moto,15.0
Nhà trật dư xe cần bán.Xe trùm mền siêu lướt  Thán,65.000.000 đ,65000000,"giấy tờ chính chủ và xe ít đi,chưa bảo hành lần nào hết ah",SH Mode,SH Mode,Honda,2024,2024,910,910,Việt Nam,Việt Nam,"Phường 1, Quận 8, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-8-tp-ho-chi-minh/122015336.htm,https://xe.chotot.com/mua-ban-xe-may-quan-8-tp-ho-chi-minh/122015336.htm,Đã sử dụng,Tay ga,65.0
Wave thái đẹp như mơ  nhẹ ga,15.000.000 đ,15000000,Cuối năm kẹt tiền bán wave thái êm nhẹ  cho ae đam mê dòng kiểng zin,Wave,Wave,Honda,1999,1999,5000,5000,Thái Lan,Thái Lan,"Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-12-tp-ho-chi-minh/122014598.htm,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/122014598.htm,Đã sử dụng,Xe số,15.0
nhà thừa xe cần bán cho rộng nhà,12.999.999 đ,12999999,"Vẫn đang dùng bình thường,gia đình không dùng nũa bán cho rộng nhà",Wave,Wave,Honda,2019,2019,59859,59859,Việt Nam,Việt Nam,"Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Hà Nội,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-hoang-mai-ha-noi/122014034.htm,https://xe.chotot.com/mua-ban-xe-may-quan-hoang-mai-ha-noi/122014034.htm,Đã sử dụng,Xe số,13.0
Cần bán,25.000.000 đ,25000000,Dư dùng cần bán cho anh e nào cần xin liên hệ *** chính chủ một đời chủ km 8500,Winner X,Winner,Honda,2022,2022,8500,8500,Đang cập nhật,Việt Nam,"Xã Đức Liễu, Huyện Bù Đăng, Bình Phước",Bình Phước,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-bu-dang-binh-phuoc/122013915.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-bu-dang-binh-phuoc/122013915.htm,Đã sử dụng,Tay côn/Moto,25.0
cần giao lưu xe tay ga,21.000.000 đ,21000000,"Em cần giao luưu xe tay ga để thuận tiện cv
Xe e nguyên zin
Oddo 30 ngàn
Như hình",Winner X,Winner,Honda,2022,2022,300000,300000,Việt Nam,Việt Nam,"Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-ngu-hanh-son-da-nang/122012892.htm,https://xe.chotot.com/mua-ban-xe-may-quan-ngu-hanh-son-da-nang/122012892.htm,Đã sử dụng,Tay côn/Moto,21.0
Cần bán gấp,12.000.000 đ,12000000,Xe wave còn rất tốt tiết kiệm nhiên liệu nhà nhiều xe không dùng đến,Wave,Wave,Honda,2020,2020,10000,10000,Việt Nam,Việt Nam,"Xã Yên Thịnh, Huyện Yên Định, Thanh Hóa",Thanh Hóa,Đã sử dụng,Xe số,75.0,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-yen-dinh-thanh-hoa/122012384.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-yen-dinh-thanh-hoa/122012384.htm,Đã sử dụng,Xe số,12.0
xe zin nhà chạy còn rất mới ai thiện chí xem xe nh,32.000.000 đ,32000000,tình trạng xe còn rất mới người lớn tuổi chạy kĩ ae quan tâm thì có thể xem xe,Air Blade,Air Blade,Honda,2020,2020,17000,17000,Việt Nam,Việt Nam,"Phường 12, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thanh-pho-vung-tau-ba-ria-vung-tau/122012349.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-vung-tau-ba-ria-vung-tau/122012349.htm,Đã sử dụng,Tay ga,32.0
Winner nguyên zin chưa sửa chữa,13.000.000 đ,13000000,"xe năm 2018 chính chủ đầy đủ giấy tờ 
tình trạng xe còn đẹp ! 
xem xe trực tiếp tại Biên Hoà",Winner,Winner,Honda,2018,2018,100000,100000,Việt Nam,Việt Nam,"Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Đồng Nai,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thanh-pho-bien-hoa-dong-nai/122012173.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-bien-hoa-dong-nai/122012173.htm,Đã sử dụng,Tay côn/Moto,13.0
WinerX chính chủ đẹp 99% biển tỉnh,19.000.000 đ,19000000,"Chính chủ
Biển tỉnh
Có chìa khoá sơ cua
Ưu tiên qua xem xe
Đã gắn ba ga phía sau để ràng đồ đi phượt",Winner X,Winner,Honda,2021,2021,22300,22300,Nhật Bản,Nhật Bản,"Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122011886.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122011886.htm,Đã sử dụng,Tay côn/Moto,19.0
Thanh lý xe raider 150 đời 2021,22.000.000 đ,22000000,Thanh lý xe Raider máy móc ok đời 2021 phù hợp ae đi phượt. Giấy tờ đầy đủ mua bán bao tranh chấp tại tiệm . Địa chỉ 18 Hùng Vương tt Diên Khánh. Giá 22triệu có thương lượng bớt lộc mau mắn. LH ***,Raider,Raider,Suzuki,2021,2021,27000,27000,Đang cập nhật,Việt Nam,"Thị trấn Diên Khánh, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-dien-khanh-khanh-hoa/122011608.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-dien-khanh-khanh-hoa/122011608.htm,Đã sử dụng,Tay côn/Moto,22.0
Dư xe cần bán xe  winer v2 bi cầu,23.000.000 đ,23000000,"Mình dư không đi đến chiếc winner x v2 dồ 2021
Xe đã độ bi cầu
Xe đi giữ gìn không lỗi gì
Bác nào có nhu cầu hú e nhé",Winner X,Winner,Honda,2021,2021,350000,350000,Việt Nam,Việt Nam,"Xã Mê Linh, Huyện Mê Linh, Hà Nội",Hà Nội,Đã sử dụng,Tay côn/Moto,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-me-linh-ha-noi/122011462.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-me-linh-ha-noi/122011462.htm,Đã sử dụng,Tay côn/Moto,23.0
Cần bán,9.500.000 đ,9500000,Xe zin từ a - z . Bao trộm cắp. Không chính chủ. Xem xe ắc sẽ mê,Nouvo,Nouvo,Yamaha,2013,2013,9090,9090,Nhật Bản,Nhật Bản,"Thị trấn Vĩnh Thạnh, Huyện Vĩnh Thạnh, Cần Thơ",Cần Thơ,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-vinh-thanh-can-tho/122011317.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-vinh-thanh-can-tho/122011317.htm,Đã sử dụng,Tay ga,9.5
wave alpha up 110 bstp 9c,23.500.000 đ,23500000,"Wave alpha up 110 bstp chính chủ 

• Áo 110 long lanh , Cđn mới vỏ Quick , Phuộc Nice zin , Gác chân dài bô 110 , Ốc tán leng keng , Máy zin êm nhẹ 

2x.x nhỏ fix lộc

Call :  ***",Wave,Wave,Honda,2002,2002,8888,8888,Nhật Bản,Nhật Bản,"Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-12-tp-ho-chi-minh/122010569.htm,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/122010569.htm,Đã sử dụng,Xe số,23.5
"Nouvo 6 2014 chính chủ biển số thành phố, mới 95%",12.000.000 đ,12000000,"Cần bán xe Nouvo 6 mua năm 2014 chính chủ, đi được 90000km, mới thay dàn áo, đèn năm 2023 nên còn rất mới, không lỗi lầm gì.",Nouvo,Nouvo,Yamaha,2014,2014,90000,90000,Việt Nam,Việt Nam,"Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/122010495.htm,https://xe.chotot.com/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/122010495.htm,Đã sử dụng,Tay ga,12.0
Bán xe sh150i abs màu bạc,65.000.000 đ,65000000,Bán xe sh150i abs màu bạc 2018 xe có dán keo đi được 54500km anh chị nào có nhu cầu xin Lh thế dt *** cảm ơn chợ tốt đã diệt tinh,SH,SH,Honda,2018,2018,54500,54500,Việt Nam,Việt Nam,"Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-7-tp-ho-chi-minh/122010351.htm,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/122010351.htm,Đã sử dụng,Tay ga,65.0
Bán xe SH.,75.000.000 đ,75000000,"Xuất Xứ:Việt Nam
Hiện đã chạy được 17000 km",SH,SH,Honda,2017,2017,17000,17000,Việt Nam,Việt Nam,"Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-ngu-hanh-son-da-nang/122010297.htm,https://xe.chotot.com/mua-ban-xe-may-quan-ngu-hanh-son-da-nang/122010297.htm,Đã sử dụng,Tay ga,75.0
Bán xe Exceiter 2015,20.200.000 đ,20200000,"- Xe đăng kí Tháng 2015
- Đi xe kỹ, xe còn nguyên zin, chưa bung 
- Biển số Đồng Nai số đẹp 66000, 
- Tình trạng xe: xe đnag dán về bóc lớp dán là như mới,
- Xe chính chủ, đầy đủ giấy tờ, 
- Xe chạy bốc, 

Anh em thiện chí miễn ngả giá, xin cảm ơn anh em.",Exciter,Exciter,Yamaha,2015,2015,50000,50000,Đang cập nhật,Việt Nam,"Phường Tam Phước, Thành phố Biên Hòa, Đồng Nai",Đồng Nai,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thanh-pho-bien-hoa-dong-nai/122008958.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-bien-hoa-dong-nai/122008958.htm,Đã sử dụng,Xe số,20.2
Nhà thừa xe cần pass,18.000.000 đ,18000000,"Nhà thừa 1 xe k dùng đến
Máy móc nguyên zin
Đã dọn tương đối như hình
Xe biển 89, dki màu đỏ nhưng đã lên vỏ trắng 
Ae đam mê alo truc tiep",Wave,Wave,Honda,2005,2005,7000,7000,Việt Nam,Việt Nam,"Phường Đức Giang, Quận Long Biên, Hà Nội",Hà Nội,Đã sử dụng,Xe số,75.0,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-long-bien-ha-noi/122007102.htm,https://xe.chotot.com/mua-ban-xe-may-quan-long-bien-ha-noi/122007102.htm,Đã sử dụng,Xe số,18.0
không dùng cần bán xe future neo 2006 sườn xám,14.000.000 đ,14000000,"Xe còn đẹp về sẵn dùng đồ zin còn nhiều 
Đầu nổi mới làm máy giữa chưa hạ
Do không dùng đến nên niềng sau hơi sét, máy cực êm vỏ ruột mới
Xe không chính chủ xem xe tại nhà
Giá không bớt",Future,Future,Honda,2006,2006,70000,70000,Việt Nam,Việt Nam,"Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122007028.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122007028.htm,Đã sử dụng,Xe số,14.0
sh nhập máy zin 2012,76.000.000 đ,76000000,"Chính chủ vì nhu cầu sử dụng ít nên muốn bán. Mình đảm bảo xe còn zin, máy móc còn ngon bảo dưỡng định kỳ thường xuyên. Mình ở Đống Đa, ae nào có nhu cầu thì liên hệ qua nhà xem trực tiếp xe. Sđt mình :***",SH,SH,Honda,2012,2012,52000,52000,Việt Nam,Việt Nam,"Phường Kim Liên, Quận Đống Đa, Hà Nội",Hà Nội,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-dong-da-ha-noi/121940093.htm,https://xe.chotot.com/mua-ban-xe-may-quan-dong-da-ha-noi/121940093.htm,Đã sử dụng,Tay ga,76.0
"Giấy tờ đầy đủ, k9c, xăng cơ",15.000.000 đ,15000000,"Giấy tờ đầy đủ, k9c
Xe zin, làm nồi, rớt đầu
Xe xăng cơ lên áo FI",Future,Future,Honda,2007,2007,54000,54000,Việt Nam,Việt Nam,"Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",Bình Dương,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thi-xa-tan-uyen-binh-duong/122006801.htm,https://xe.chotot.com/mua-ban-xe-may-thi-xa-tan-uyen-binh-duong/122006801.htm,Đã sử dụng,Xe số,15.0
Dư dùng bán SH2017 150cc khóa smarkey,64.000.000 đ,64000000,"Xe máy móc zin chưa đung cham con ốc nao,dan keo nguyên chiếc không đâm đụng te ngã,xe chỉ đi làm sáng chiều về 150cc. Thằng CBS
Khóa còn đủ 2chia, đồ zin theo xe đầy đủ , cập Võ mới thay
Xe chính chủ đứng tên sang tên ủy quyền trong ngày ***
Miễn tiếp cò lái",SH,SH,Honda,2017,2017,55000,55000,Việt Nam,Việt Nam,"Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/122006479.htm,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/122006479.htm,Đã sử dụng,Tay ga,64.0
chính chủ cần bán,70.000.000 đ,70000000,Mình cần bán chiếc xe sh 125i năm 2022 odo 16100km,SH,SH,Honda,2022,2022,16100,16100,Việt Nam,Việt Nam,"Thị trấn Phước Hải, Huyện Đất Đỏ, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-dat-do-ba-ria-vung-tau/122005287.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-dat-do-ba-ria-vung-tau/122005287.htm,Đã sử dụng,Tay ga,70.0
Cần bán,11.000.000 đ,11000000,"Cần bán xe sirius fi đời 2014 xe zin máy êm đẹp, ngay chủ bstp chứng giấy liền cho ace, giá 11 triệu còn thương lượng chúc xíu lh ***",Sirius,Sirius,Yamaha,2014,2014,34000,34000,Nhật Bản,Nhật Bản,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/122005166.htm,https://xe.chotot.com/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/122005166.htm,Đã sử dụng,Xe số,11.0
Do không sử dụng,100.000.000 đ,100000000,Xe còn nguyên rin bao đep chính chủ bảo hành định kì ở hãng,SH,SH,Honda,2019,2019,23000,23000,Việt Nam,Việt Nam,"Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-hoc-mon-tp-ho-chi-minh/121871715.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-hoc-mon-tp-ho-chi-minh/121871715.htm,Đã sử dụng,Tay ga,100.0
"Bán xe Liberty màu trắng, biển HN, đi tốt, 7tr",7.000.000 đ,7000000,"Bán xe Liberty màu trắng, biển HN, xe tốt, máy ngon, giấy tờ đầy đủ.
Giá 7tr",Liberty,Liberty,Piaggio,2012,2012,72508,72508,Việt Nam,Việt Nam,"Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",Hà Nội,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-hoang-mai-ha-noi/120119545.htm,https://xe.chotot.com/mua-ban-xe-may-quan-hoang-mai-ha-noi/120119545.htm,Đã sử dụng,Tay ga,7.0
Xe SH Ý 2009,160.000.000 đ,160000000,"Xe của gia đình, con cưng, còn mới như hình. 
Nhà ít đi nên cần bán lại",SH,SH,Honda,2009,2009,25000,25000,Đang cập nhật,Ý,"Phường An Lợi Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/122004511.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/122004511.htm,Đã sử dụng,Tay ga,160.0
cần thanh lý 1 cặp lead 110,6.900.000 đ,6900000,"Bán cap lead 110 fi phun xăng điện tử
Giây tờ đầy đủ bs tỉnh
Máy móc êm ru bán bao tranh chấp cho ae",Lead,Lead,Honda,2012,2012,2222,2222,Nhật Bản,Nhật Bản,"Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122003806.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122003806.htm,Đã sử dụng,Tay ga,6.9
cần đổi xe nên nhượng ae nao cần xe chính chủ xe,13.500.000 đ,13500000,Ae co nhu cầu alo qua so dien thoại *** o binh tan gan st Nhật xe mua ve cu viet chạy ngon lanh thanks,Air Blade,Air Blade,Honda,2010,2010,2625,2625,Việt Nam,Việt Nam,"Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/122002719.htm,https://xe.chotot.com/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/122002719.htm,Đã sử dụng,Tay ga,13.5
mình cần bán xe lead fi chân chống điện trong ngay,8.500.000 đ,8500000,mình cần bán xe gấp trong ngày ai thiện trí fix nhiệt tình xem xe tại yên hoà cầu giấy xe mình êm bốc ít xăng giá bán 8tr5,Lead,Lead,Honda,2011,2011,23456,23456,Việt Nam,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Hà Nội,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-cau-giay-ha-noi/122002491.htm,https://xe.chotot.com/mua-ban-xe-may-quan-cau-giay-ha-noi/122002491.htm,Đã sử dụng,Tay ga,8.5
Cần ra đi,12.000.000 đ,12000000,"Wave a100 2007 zin nhật máy móc êm ái   điện đề đầy đủ full chức năng gtdd btc 09c
Dọn sơ làm đầu hơi xe bao nhẹ có gia tốc 
90% salaya mua về đỗ xăng chạy 
CÓ GL BÙ TRỪ CÓ BỚT AE NHANH LẸ!",Wave,Wave,Honda,2007,2007,100000,100000,Nhật Bản,Nhật Bản,"Phường 4, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,75.0,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-11-tp-ho-chi-minh/122002217.htm,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/122002217.htm,Đã sử dụng,Xe số,12.0
Bán xe SH 150I,70.000.000 đ,70000000,"Xe còn mới, đẹp, chính chủ
Xem xe và thương lượng tại 50/7 Phan Văn Hớn phường Tân Thới Nhất Quận 12, thành phố Hồ Chí Minh.",SH,SH,Honda,2024,2024,237000,237000,Việt Nam,Việt Nam,"Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-12-tp-ho-chi-minh/121868498.htm,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/121868498.htm,Đã sử dụng,Tay ga,70.0
bán x ab 2011 16tr,16.200.000 đ,16200000,"Xe máy jin lên thai không hú mạnh lên khoá smaky bô thái về là đổ xăng đi ko cần sửa j hết toàn bộ hoàng chỉnh , xem xe ko êm ko như quản cáo cho luôn cái xe , bán 16tr200 bao tranh chấp toàn quốc",Air Blade,Air Blade,Honda,2011,2011,55555,55555,Việt Nam,Việt Nam,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-12-tp-ho-chi-minh/122000748.htm,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/122000748.htm,Đã sử dụng,Tay ga,16.2
Fu led 12/2023 chính chủ zin mộc ít đi,31.500.000 đ,31500000,"Đổi xe cho vợ, vợ ko thích đi xe số xe để không trật nhà
Đăng ký lần đầu 12/2023
Zin nguyên bản, 2 gương, 2 chìa khoá theo xe, 2 vỏ theo xe
Đã gắn thêm 2 bi trợ sáng dưới gầm
Full keo 2 mặt chống rè dàn áo
Nhớt mới thay hôm qua
Bảo dưỡng định kỳ 1,5 ngàn 1 bình nhớt",Future,Future,Honda,2023,2023,13000,13000,Đang cập nhật,Việt Nam,"Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Bình Dương,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thi-xa-ben-cat-binh-duong/122000622.htm,https://xe.chotot.com/mua-ban-xe-may-thi-xa-ben-cat-binh-duong/122000622.htm,Đã sử dụng,Xe số,31.5
bán sh fom ý 2010,75.000.000 đ,75000000,"Sh 125 fom ý 2010 
Máy zin êm xe nhà đi chất xe đẹp 90% . Giá bán 75 triệu . Fix caffe ae nhanh lẹ . Ace xem qua trực tiếp lh *** .",SH,SH,Honda,2010,2010,20000,20000,Việt Nam,Việt Nam,"Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/121917934.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/121917934.htm,Đã sử dụng,Tay ga,75.0
Muốn đổi xe khác nên cần bán 1 chiếc xe fu gt206,28.000.000 đ,28000000,Muốn đổi xe nên cần bán 1 chiếc fu gt 206 đã làm full lên 209,Future,Future,Honda,2006,2006,50000,50000,Việt Nam,Việt Nam,"Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122000199.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122000199.htm,Đã sử dụng,Xe số,28.0
bán xe wave zx,4.600.000 đ,4600000,"Xe đẹp chạy khoẻ 
Giấy tờ đầy đủ 
Giá 4.600.000₫
Lh ***",Wave,Wave,Honda,2007,2007,29651,29651,Trung Quốc,Trung Quốc,"Phường Nam Hồng, Thị xã Hồng Lĩnh, Hà Tĩnh",Hà Tĩnh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-thi-xa-hong-linh-ha-tinh/121999078.htm,https://xe.chotot.com/mua-ban-xe-may-thi-xa-hong-linh-ha-tinh/121999078.htm,Đã sử dụng,Xe số,4.6
Sh ý 2007 lên áo 2010 1 đĩa xe đep giá rẻ,55.000.000 đ,55000000,"Sh ý 2007 lên áo 2010 1 đia xe đẹp nhu hinh mới di 3000km máy êm mua về đỗ xăng chạy . 
Do cần tiền nên cần ra di em no giá 55T còn thương lương.",SH,SH,Honda,2007,2007,3000,3000,Mỹ,Mỹ,"Phường 5, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-11-tp-ho-chi-minh/121975639.htm,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/121975639.htm,Đã sử dụng,Xe số,55.0
